,Name,Price,Category,Lighting_Conditions,Longevity,Average_Height,Uses,Imagen
458,Teucrium canadense, $3.50 ,Seeds,PS-FS,HP (zones 3-9),3 FEET,M N O,http://companionplants.com/catalog/images/thumbs/7-19-09%20003.jpg
459,Teucrium hyrcanicum seed, $3.50 ,Seeds,PS-FS,HP (zones 5-9),2 FEET,B H O,http://companionplants.com/catalog/images/thumbs/6-25-09%20038.jpg
460,Perilla frutescens var Seed, $3.50 ,Seeds,FS,A,4 FEET,A C M O,http://companionplants.com/catalog/images/thumbs/7-19-09%20017.jpg
461,Rumex acetosa, $3.50 ,Seeds,PS-FS,HP (zones 4-9),18 INCHES,C M,http://companionplants.com/catalog/images/Photo_Unavail.jpg
462,Angelica archangelica, $5.00 ,Potted Plants,PS,B (zones 4 to 9),5 feet,A C M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
463,Apocynum cannabinum, $5.00 ,Potted Plants,FS,HP (zones 4 - 9),3 feet,D L M N,http://companionplants.com/catalog/images/thumbs/Apocynum%20cannabinum.jpg
464,Arcticum lappa, $4.85 ,Potted Plants,FS,B,to 6 feet,B C M,http://companionplants.com/catalog/images/thumbs/7-19-12%20023.jpg
465,Asclepias curassavica, $5.00 ,Potted Plants,FS,TP,5 feet,B M O R,http://companionplants.com/catalog/images/thumbs/07-30-14%20017.JPG
466,Asclepias syriaca, $5.00 ,Potted Plants,FS,HP (zones 4 to 9),4 feet,B C H M N O,http://companionplants.com/catalog/images/thumbs/Asclepias%20syriaca.jpg
467,Calamintha officinalis, $4.85 ,Potted Plants,FS,HP (zones 5 to 9),18 inches,A B C H M O,http://companionplants.com/catalog/images/thumbs/Calamintha%20sp..jpg
468,Calamintha sp, $4.85 ,Potted Plants,FS,HP (zones 5 to 9),2 feet,A C M O,http://companionplants.com/catalog/images/thumbs/Calamintha%20sp..jpg
469,Cassia hebecarpa, $5.00 ,Potted Plants,FS,HP (zones 4 to 9),6 feet,B M N O,http://companionplants.com/catalog/images/thumbs/aloe%20033.jpg
470,Chasmanthium latifolium, $5.00 ,Potted Plants,PS-FS,HP (zones 3 to 9),3 feet,E N O,http://companionplants.com/catalog/images/thumbs/7-19-12%20044.jpg
471,Chrysanthemum parthenium, $5.00 ,Potted Plants,PS-FS,HP (zones 4 to 9),18 inches,M O R,http://companionplants.com/catalog/images/thumbs/Chrysanthemum%20parthenium.jpg
472,Codonopsis pilosula, $6.00 ,Potted Plants,sh-PS,HP,8 feet to 8 feet,M O,http://companionplants.com/catalog/images/thumbs/Codonopsis%20pilosula.JPG
473,Cynara cardunculus, $5.00 ,Potted Plants,FS,B (zones7 to 9),4 feet,C D E M O,http://companionplants.com/catalog/images/thumbs/Cardoon.jpg
474,Cytisus scoparius, $5.00 ,Potted Plants,FS,HP (zones 6 to 8),5 feet,D L M O,http://companionplants.com/catalog/images/thumbs/Cytisus%20scoparius.jpg
475,Datura metel 'Black', $5.00 ,Potted Plants,FS,TP,4 feet,L M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
476,Datura metel, $5.00 ,Potted Plants,FS,TP,4 feet,L M O,http://companionplants.com/catalog/images/thumbs/11-03-15%20019.JPG
477,Digitalis purpurea, $5.00 ,Potted Plants,PS-FS,B (zones 4 to 8),to 6 feet,L M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
478,Echinacea angustifolia, $5.00 ,Potted Plants,FS,HP (zones 4 to 9),18 inches,B E M N O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
479,Ephedra distachya, $10.00 ,Potted Plants,PS-FS,HP (to zone 6),5 feet,M O,http://companionplants.com/catalog/images/thumbs/Ephedra%20distachya.jpg
480,Eryngium foetidum, $5.50 ,Potted Plants,PS-FS,TP,10 inches,A C M,http://companionplants.com/catalog/images/thumbs/Eryngium%20foetidum.jpg
481,Eupatorium perfoliatum, $5.00 ,Potted Plants,PS-FS,HP (zones 3 to 9),5 feet,B M N O,http://companionplants.com/catalog/images/thumbs/Eupatorium%20perfoliatum%20-%20Boneset.jpg
482,Eupatorium purpureum, $5.00 ,Potted Plants,FS,HP (zones 3 to 9),10 feet,B M N O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
483,Forsythia suspensa, $6.00 ,Potted Plants,FS,HP (zones 5 to 8),to 10 feet,M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
484,Heimia myrtifolia, $6.50 ,Potted Plants,FS,HP,4 feet,L O,http://companionplants.com/catalog/images/thumbs/oct%2019%202013%20004.jpg
485,Helianthus tuberosus, $5.00 ,Potted Plants,FS,HP (zones 4 to 9),to 8 feet,C H M N O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
486,Helichrysum angustifolium, $5.00 ,Potted Plants,FS,TP (zones 7 to 10),2 feet,A C E M O R,http://companionplants.com/catalog/images/thumbs/07-30-14%20024.JPG
487,Helleborus orientalis, $6.00 ,Potted Plants,PS,HP (zones 4 to 9),1 foot,M O,http://companionplants.com/catalog/images/thumbs/Helleborus%20orientalis.jpg
488,Hepatica acutiloba, $5.00 ,Potted Plants,sh-PS,HP (zones 4 to 9),5 inches,M N O,http://companionplants.com/catalog/images/thumbs/Hepatica%20acutiloba.JPG
489,Houttuynia cordata Variegata, $5.00 ,Potted Plants,PS-FS,HP (zones 5 to 11),15 inches,C M O,http://companionplants.com/catalog/images/thumbs/6-25-09%20100.jpg
490,Hyoscyamus niger, $6.00 ,Potted Plants,PS-FS,AB (zones 6 to 11),30 inches,L M O,http://companionplants.com/catalog/images/thumbs/Hyoscyamus%20niger.jpg
491,Hyssopus officinalis, $5.00 ,Potted Plants,FS,HP (zones 3 to 10),2 feet,B C H L M O,http://companionplants.com/catalog/images/plants%20054.jpg
492,Indigofera suffruticosa, $5.00 ,Potted Plants,FS,TP,to 6 feet,D L M,http://companionplants.com/catalog/images/thumbs/7-19-12%20017.jpg
493,Indigofera tinctoria, $5.00 ,Potted Plants,FS,TP,to 6 feet,D L M,http://companionplants.com/catalog/images/thumbs/7-19-12%20027.jpg
494,Inula helenium, $5.00 ,Potted Plants,PS-FS,HP (zones 3 to 9),8 feet,D M,http://companionplants.com/catalog/images/thumbs/7-19-09%20019.jpg
495,Isatis tinctoria, $5.00 ,Potted Plants,FS,B (zones 4 to 8),4 feet,D L O,http://companionplants.com/catalog/images/thumbs/6-24-11%20025.jpg
496,Justicia pectoralis var stenophylla, $10.00 ,Potted Plants,Sh - PS,TP,12 inches,L M,http://companionplants.com/catalog/images/thumbs/11-17-14%20015.JPG
497,Kaempferia galanga, $12.00 ,Potted Plants,PS,TP (zones 9 to 11),6 inches,C M O,http://companionplants.com/catalog/images/thumbs/7-09-09%20018.jpg
498,Lavandula angustifolia 'Jean Davis', $5.00 ,Potted Plants,FS,HP (zones 5 to 8),10 inches,A M O R,http://companionplants.com/catalog/images/thumbs/7-19-12%20048.jpg
499,Lavandula angustifolia 'Twickle Purple', $5.00 ,Potted Plants,FS,HP (zones 5 - 11),2 feet,A B C H M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
500,Lavandula x intermedia 'Grosso', $5.00 ,Potted Plants,FS,HP (zones 5 to 9),3 feet,A B C H M O R,http://companionplants.com/catalog/images/Photo_Unavail.jpg
501,Lavandula x intermedia 'Provense', $5.00 ,Potted Plants,FS,HP (zones 5 to 9),3 feet,A B C H M O R,http://companionplants.com/catalog/images/thumbs/7-19-12%20047.jpg
502,Leonurus cardicans, $5.00 ,Potted Plants,PS-FS,HP (zones 4 to 8),5 feet,H M O,http://companionplants.com/catalog/images/thumbs/6-25-09%20028.jpg
503,Leonurus sibiricus, $5.00 ,Potted Plants,PS-FS,B,6 feet,H M O,http://companionplants.com/catalog/images/plants%20029.jpg
504,Levisticum officinale, $5.00 ,Potted Plants,FS,HP (zones 5 to 8),4 feet,C M,http://companionplants.com/catalog/images/thumbs/Levisticum%20officinale.JPG
505,Lobelia laxiflora, $5.00 ,Potted Plants,PS-FS,TP-HP (to zone six),3 feet,B M O,http://companionplants.com/catalog/images/thumbs/Lobelia%20laxiflora.jpg
506,Lycopus europaeus, $5.00 ,Potted Plants,PS-FS,HP (zones 4 to 8),3 feet,A D M,http://companionplants.com/catalog/images/thumbs/7-15-09%20005.jpg
507,Marrubium vulgare, $5.00 ,Potted Plants,PS-FS,HP (zones 3 to 8),18 inches,H M O,http://companionplants.com/catalog/images/thumbs/07-30-14%20025.JPG
508,Melissa officinalis, $5.00 ,Potted Plants,FS,HP (zones 3 to 7),3 feet,A C H M R,http://companionplants.com/catalog/images/thumbs/7-15-09%20020.jpg
509,Mentha asiaticaborris, $4.85 ,Potted Plants,PS-FS,HP (zones 3 to 9),30 inches,A C H M R,http://companionplants.com/catalog/images/thumbs/6-24-11%20039.jpg
510,Mimosa hostilis, $15.00 ,Potted Plants,PS-FS,TP,15 feet,L M,http://companionplants.com/catalog/images/thumbs/Mimosa%20hostilis.JPG
511,Monarda fistulosa, $5.00 ,Potted Plants,PS-FS,HP (zones 3 to 9),3 feet,A C H M N O,http://companionplants.com/catalog/images/thumbs/7-09-09%20006.jpg
512,Monarda punctata, $5.00 ,Potted Plants,FS,HP (zones 4 to 9),2 feet,H M N O,http://companionplants.com/catalog/images/thumbs/07-30-14%20021.JPG
513,Myrtus communis, $5.00 ,Potted Plants,PS-FS,TP (zones 8 to 9),12 feet,A C L M O,http://companionplants.com/catalog/images/thumbs/6-25-09%20107.jpg
514,Nepeta cataria 'Citriodorata', $5.00 ,Potted Plants,PS-FS,HP,3 feet,A C H M,http://companionplants.com/catalog/images/Photo_Unavail.jpg
515,Nepeta cataria, $5.00 ,Potted Plants,PS-FS,HP (zones 3 to 7),3 feet,A H M,http://companionplants.com/catalog/images/thumbs/Nepeta%20cataria.jpg
516,Nicotiana glauca, $5.00 ,Potted Plants,FS,TP,to 20 feet,M O,http://companionplants.com/catalog/images/plants%20041.jpg
517,Ocimum basilicum 'Minimum', $4.85 ,Potted Plants,FS,A,10 inches,A C O,http://companionplants.com/catalog/images/thumbs/7-19-09%20009.jpg
518,Ocimum gratissimum, $5.00 ,Potted Plants,FS,TP,8 feet,A C R,http://companionplants.com/catalog/images/thumbs/7-21-12%20022.jpg
519,Ocimum sanctum purple Tulsi form, $5.00 ,Potted Plants,FS,A,3 feet,A C M O R,http://companionplants.com/catalog/images/thumbs/7-21-12%20022.jpg
520,Ocimum sanctum, $4.85 ,Potted Plants,FS,A,18 inches,A C L O,http://companionplants.com/catalog/images/thumbs/7-09-09%20003.jpg
521,Ocimum viride, $5.00 ,Potted Plants,FS,A,4 feet,M R,http://companionplants.com/catalog/images/thumbs/Ocimum%20viride.jpg
522,Origanum vulgare, $5.00 ,Potted Plants,FS,HP (zones 5 to 9),12 inches,A C D E H M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
523,Parthenium integrifolium, $5.00 ,Potted Plants,FS,HP (zones 4 to 9),3 feet,E M O,http://companionplants.com/catalog/images/thumbs/4-16-09%20041.jpg
524,Peganum harmala, $8.00 ,Potted Plants,FS,HP (zones 6 to 10),5 feet,D L M,http://companionplants.com/catalog/images/thumbs/7-19-12%20033.jpg
525,Pelargonium citronellum 'Mabel Grey', $5.25 ,Potted Plants,PS-FS,TP,4 feet,A C O R,http://companionplants.com/catalog/images/thumbs/Mabel%20Grey.jpg
526,Phalaris sp 'Big Medicine', $8.00 ,Potted Plants,PS-FS,HP,3 feet,L,http://companionplants.com/catalog/images/Photo_Unavail.jpg
527,Phalaris aquatica var stenoptera, $8.00 ,Potted Plants,PS-FS,HP,3 feet,L M,http://companionplants.com/catalog/images/Photo_Unavail.jpg
528,Phytolacca americana, $5.00 ,Potted Plants,PS-FS,HP (zones 3 to 9),to 8 feet,D M N,http://companionplants.com/catalog/images/thumbs/6-24-11%20044.jpg
529,Pinellia ternata, $6.00 ,Potted Plants,PS-FS,TP (zones 6 to 9),10 inches,M O,http://companionplants.com/catalog/images/thumbs/Pinellia%20ternata.JPG
530,Piper auritum P sanctum, $7.25 ,Potted Plants,PS-FS,TP,to 6 feet,A C M,http://companionplants.com/catalog/images/thumbs/6-14-09%20014.jpg
531,Poterium sanguisorba, $5.00 ,Potted Plants,FS,HP (zones 4 to 8),18 inches,C M,http://companionplants.com/catalog/images/thumbs/7-20-12%20012.jpg
532,Pyrethrum roseum, $5.00 ,Potted Plants,FS,HP (zones 4 to 9),18 inches,O R,http://companionplants.com/catalog/images/thumbs/may%2029%202013%20008.jpg
533,Reseda luteola, $4.85 ,Potted Plants,FS,B,4 feet,D O,http://companionplants.com/catalog/images/thumbs/6-22-14%20(8).JPG
534,Reseda odorata, $4.85 ,Potted Plants,FS,A,2 feet,A B M,http://companionplants.com/catalog/images/thumbs/7-19-12%20032.jpg
535,Rosmarinus officinalis 'Hill Hardy', $5.25 ,Potted Plants,FS,TP-HP,3 feet,A C O,http://companionplants.com/catalog/images/thumbs/Hill%20Hardy%20Ros..jpg
536,Rosmarinus officinalis 'Tuscan Blue', $5.00 ,Potted Plants,FS,TP,to 6 feet,A C O,http://companionplants.com/catalog/images/thumbs/07-30-14%20022.JPG
537,Rumex crispus, $4.85 ,Potted Plants,PS-FS,HP-B,4 feet,D M,http://companionplants.com/catalog/images/thumbs/4-16-09%20045.jpg
538,Salvia apiana, $10.00 ,Potted Plants,FS,TP,to 8 feet,A H L O,http://companionplants.com/catalog/images/plants%20043.jpg
539,Salvia coccinea, $4.85 ,Potted Plants,FS,A-TP,2 feet,H O,http://companionplants.com/catalog/images/thumbs/Salvi%20coccinea.jpg
540,Salvia officinalis 'Berggarten', $5.00 ,Potted Plants,FS,HP (zones 5 to 9),20 inches,A C M O,http://companionplants.com/catalog/images/thumbs/Bergarrten%20Sage.JPG
541,Salvia officinalis, $5.00 ,Potted Plants,FS,HP (zones 5 to 9),2 feet,A C H L M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
542,Salvia sclarea, $5.00 ,Potted Plants,FS,B (zones 4 to 9),2 feet,A C M O,http://companionplants.com/catalog/images/thumbs/Salvia%20sclerea.jpg
543,Salvia stenophylla, $5.00 ,Potted Plants,FS,TP (zones 6 to 9),2 feet,A M O R,http://companionplants.com/catalog/images/thumbs/Salvia%20stenophyllum.JPG
544,Santolina rosmarinifolia, $5.00 ,Potted Plants,FS,HP (zones 6 to 9),2 feet,M O R,http://companionplants.com/catalog/images/thumbs/6-14-09%20019.jpg
545,Silybum marianum, $4.85 ,Potted Plants,PS-FS,AB,4 feet,C M O,http://companionplants.com/catalog/images/thumbs/Silybum%20marianum.jpg
546,Teucrium massiliense, $5.00 ,Potted Plants,FS,TP,12 inches,A O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
547,Thymus praecox ssp arcticus 'Coccineus', $4.85 ,Potted Plants,FS,HP (zones 5 to 9),3 inches,B H O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
548,Thymus serpyllum 'Elfin', $4.85 ,Potted Plants,FS,HP (zones 5 to 9),3 inches,O,http://companionplants.com/catalog/images/thumbs/7-20-12%20009.jpg
549,Thymus x 'Argenteus', $4.85 ,Potted Plants,FS,HP (zones 5 to 9),10 inches,A C O,http://companionplants.com/catalog/images/thumbs/7-20-12%20009.jpg
550,Thymus x 'Linear Leaf Lilac', $4.85 ,Potted Plants,FS,HP (zones 5 to 9),4 inches,A O,http://companionplants.com/catalog/images/thumbs/7-20-12%20006.jpg
551,Thymus x 'Longleaf Gray', $4.85 ,Potted Plants,FS,HP (zones 5 to 9),8 inches,A C O,http://companionplants.com/catalog/images/thumbs/may%2029%202013%20011.jpg
552,Thymus x 'Pinewood', $4.85 ,Potted Plants,FS,HP (zones 5 to 9),10 inches,A C O,http://companionplants.com/catalog/images/thumbs/7-21-12%20016.jpg
553,Vitex negundo, $6.00 ,Potted Plants,FS,HP (zones 6 to 10),15 FEET,A H M O,http://companionplants.com/catalog/images/thumbs/7-21-12%20027.jpg
554,Acorus calamus,"$4.00
1+  $4.00
2+  $3.00
7+  $2.00
50+  $1.75",Dormant/Bareroot Plant,PS-FS,HP (in USDA Zones 4 to 11),5 feet,A C D L M N O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
555,Hepatica acutiloba,"$4.00
2+  $3.00
7+  $2.00
50+  $1.75",Dormant/Bareroot Plant,sh-PS,HP (in USDA Zones 4 to 9),5 inches,M N O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
556,Anredera cordifolia, $5.00 ,Potted Plants,PS-FS,TP,to 15 feet,C M O,http://companionplants.com/catalog/images/thumbs/7-21-12%20009.jpg
557,Allium sativum 'Ophioscorodon'seeds, $3.50 ,Seeds,FS,HP (zones 3-9),2 FEET,C O R,http://companionplants.com/catalog/images/thumbs/6-25-09%20035.jpg
558,Asclepias curassavica, $3.50 ,Seeds,FS,TP,3 FEET,B M O,http://companionplants.com/catalog/images/thumbs/Asclepias%20curassavica.JPG
559,Asclepias syriaca, $3.50 ,Seeds,FS,HP(zones 4 to 9),4 FEET,B C H M N O,http://companionplants.com/catalog/images/thumbs/Asclepias%20syriaca.jpg
560,Baptisia australis seed, $3.50 ,Seeds,FS,HP,4 FEET,B D M N O,http://companionplants.com/catalog/images/thumbs/4-16-09%20034.jpg
561,Conium maculatum Seed, $3.50 ,Seeds,PS=FS,B,10 FEET,M,http://companionplants.com/catalog/images/thumbs/Conium%20maculatum.jpg
562,Ephedra sinica seeds, $3.50 ,Seeds,FS,HP (to zone 5),3 FEET,M,http://companionplants.com/catalog/images/thumbs/Ephedra%20sinica.jpg
563,Eucalyptus polyanthemos, $5.25 ,Potted Plants,FS,TP (to zone 9),to 50 FEET,A M O,http://companionplants.com/catalog/images/thumbs/7-19-09%20054.jpg
564,Heimia salicifolia seed, $3.50 ,Seeds,FS,HP (to zone 6),10 FEET,L O,http://companionplants.com/catalog/images/thumbs/Heimia%20salicifolia.jpg
565,Leonurus sibericus seed, $3.50 ,Seeds,PS-FS,B,6 FEET,H M O,http://companionplants.com/catalog/images/thumbs/Leonurus%20sibiricus.jpg
566,Linum usitatissimum seed, $3.50 ,Seeds,FS,A,3 FEET,M O,http://companionplants.com/catalog/images/thumbs/Leonurus%20sibiricus.jpg
567,Nepeta parnassica, $3.50 ,Seeds,PS-FS,HP,3 FEET,A O R,http://companionplants.com/catalog/images/thumbs/Nepeta%20parnassica%202.jpg
568,Ocimum selloi seeds, $3.50 ,Seeds,PS-FS,TP,30 INCHES,C H M O,http://companionplants.com/catalog/images/thumbs/Nepeta%20parnassica%202.jpg
569,Achillea millefolium seeds, $3.50 ,Seeds,PS-FS,HP (zones 3 to 10),2 feet to 3 feet,A E L M N,http://companionplants.com/catalog/images/thumbs/Achillea%20millefolium.JPG
570,Agastache foeniculum seeds, $3.50 ,Seeds,PS-FS,HP (zones 4 to 10),3 feet,C H M N O,http://companionplants.com/catalog/images/thumbs/Agastache%20foeniculum%202.jpg
571,Agastache nepetoides seeds, $3.50 ,Seeds,PS-FS,HP (zones 2 to 8),6 feet,H M N O,http://companionplants.com/catalog/images/thumbs/Agastache%20nepetoides.jpg
572,Heimia salicifolia, $6.50 ,Potted Plants,FS,HP (to zone 6),10 FEET,L O,http://companionplants.com/catalog/images/thumbs/Heimia%20salicifolia.jpg
573,Panax quinquefolium, $6.00 ,Potted Plants,Sh,HP(zones 3-7),"12""",M,http://companionplants.com/catalog/images/thumbs/Panax%20quinqiefolium.jpg
574,Vitex agnuschastus, $6.00 ,Potted Plants,FS,HP (zones 6-9),10 feet,A H M O,http://companionplants.com/catalog/images/thumbs/Vitex%20agnus-chastus.jpg
575,Curcuma domestica Variegata, $7.00 ,Potted Plants,PS-FS,TP,3 to 5 feet,A C D M O,http://companionplants.com/catalog/images/thumbs/6-25-09%20037.jpg
576,Trichocereus bridgesii, $18.00 ,Cacti/Succulents,FS,TP,10 feet,L M,http://companionplants.com/catalog/images/thumbs/Trichocereus%20bridgessii.jpg
577,Thymus vulgaris, $4.85 ,Potted Plants,FS,HP (zones 5 to 9),14 inches,A B C H M O,http://companionplants.com/catalog/images/thumbs/Thymus%20vulgaris.JPG
578,Thymbra capitata, $6.00 ,Potted Plants,FS,TP,1 foot,A C M O,http://companionplants.com/catalog/images/thumbs/7-19-09%20024.jpg
579,Thymus praecox ssp arcticus Minor, $4.85 ,Potted Plants,FS,HP,1 inch,O,http://companionplants.com/catalog/images/thumbs/7-21-12%20026.jpg
580,Lavandula dentata Candicans var Balearic, $5.00 ,Potted Plants,FS,TP (zones 7 to 10),3 feet,A M O R,http://companionplants.com/catalog/images/thumbs/Balearic%20French%20Lavender.jpg
581,Humulus lupulus var Horizon, $6.50 ,Potted Plants,FS,HP (zones 4 to 8),to 30 feet,C H M O,http://companionplants.com/catalog/images/thumbs/Balearic%20French%20Lavender.jpg
582,Datura metel 'Double Black', $5.00 ,Potted Plants,FS,TP,4 feet,L M O,http://companionplants.com/catalog/images/thumbs/Balearic%20French%20Lavender.jpg
583,Panax quinquefolium,"$4.00
1+  $4.00
2+  $3.50
7+  $3.00
50+  $2.50",Dormant/Bareroot Plant,Sh,HP,"12""",M,http://companionplants.com/catalog/images/thumbs/6-14-09%20016.jpg
584,Iris versicolor, $5.00 ,Potted Plants,PS-FS,HP (zones3-9),"30""",M N O,http://companionplants.com/catalog/images/thumbs/6-14-09%20016.jpg
585,Iris versicolor,"$4.00
1+  $4.00
2+  $3.00
7+  $2.00
50+  $1.75",Dormant/Bareroot Plant,PS-FS,HP (zones 3-9),"30""",M N O,http://companionplants.com/catalog/images/thumbs/6-14-09%20016.jpg
586,Humulus lupulus var Nugget, $6.50 ,Potted Plants,FS,HP(zones 4 to 8),Vine to 30 feet,C H M O,http://companionplants.com/catalog/images/thumbs/6-14-09%20016.jpg
587,Humulus lupulus var Fuggle, $6.50 ,Potted Plants,FS,HP(zones 4 to 8),vine to 30 feet,C H M O,http://companionplants.com/catalog/images/thumbs/6-14-09%20016.jpg
588,Rivea corymbosa, $3.50 ,Seeds,FS - PS,TP,VINE TO 30 FEET,L M O,http://companionplants.com/catalog/images/thumbs/Rivea%20corymbosa.jpg
589,Stachys officinalis, $5.00 ,Potted Plants,FS - PS,HP (zones 5-8),2 FEET,D M O,http://companionplants.com/catalog/images/thumbs/6-25-09%20032.jpg
590,Stachys officinalis 'nana', $5.00 ,Potted Plants,FS - PS,HP (zones 5-8),6 INCHES,O,http://companionplants.com/catalog/images/thumbs/Dwarf%20Betony.jpg
591,Verbascum thapsus, $4.85 ,Potted Plants,FS-PS,B (zones 3 - 9),8 FEET,L M O,http://companionplants.com/catalog/images/thumbs/4-16-09%20030.jpg
592,Rosmarinus Off 'Severn Seas', $5.00 ,Potted Plants,FS,TP,1 - 2 FEET,A C O,http://companionplants.com/catalog/images/thumbs/Severn%20Seas%20Ros..jpg
593,Rosemarinus off 'Majorca Pink', $5.00 ,Potted Plants,FS,TP,3 - 4 Feet,A C O,http://companionplants.com/catalog/images/thumbs/Majorca%20Pink%20Ros..jpg
594,Pelargonium var 'Chocolate Mint', $5.00 ,Potted Plants,PS-FS,TP,2 FEET,A C O,http://companionplants.com/catalog/images/thumbs/Chocolate%20Mint%20Ger.jpg
595,Glycyrrhiza echinata seeds, $3.50 ,Seeds,FS,HP,6 FEET,M,http://companionplants.com/catalog/images/thumbs/Glycorrhiza%20echinata.jpg
596,Pycnanthemum muticum, $5.00 ,Potted Plants,PS-FS,HP,3 FEET,A B C E H M N O,http://companionplants.com/catalog/images/thumbs/3-3-10%20005.jpg
597,Vitex negundo seed, $3.50 ,Seeds,PS-FS,HP,15 FEET,A H M O,http://companionplants.com/catalog/images/thumbs/Vitex%20negundo.jpg
598,Asarum canadensis, $5.00 ,Potted Plants,sh - PS,HP (zones 2 - 8),"6""",A C M N O,http://companionplants.com/catalog/images/thumbs/Asarum%20canadensis.JPG
599,Baptisia australis, $5.00 ,Potted Plants,FS,HP (zones 3 - 8),4 FEET,D M N O,http://companionplants.com/catalog/images/thumbs/Baptisia.jpg
600,Caulophyllum thalictroides, $5.00 ,Potted Plants,sh - PS,HP (zones 3 - 9),30 INCHES,M N O,http://companionplants.com/catalog/images/thumbs/Blue%20Cohosh.jpg
601,Salvia officinalis 'Aurea', $5.00 ,Potted Plants,FS,HP(zones 6 - 9),"18""",A C M O,http://companionplants.com/catalog/images/thumbs/Blue%20Cohosh.jpg
602,Sanguinaria canadensis, $5.00 ,Potted Plants,Sh,HP(zones 3 - 9),"10""",D M N O,http://companionplants.com/catalog/images/thumbs/Photo_Unavail.JPG
603,Saponaria officinalis, $5.00 ,Potted Plants,PS-FS,HP(zones 2 - 9),3 Feet,C M O,http://companionplants.com/catalog/images/thumbs/Saponaria%20officinalis.jpg
604,Verbascum blattaria, $5.00 ,Potted Plants,FS,B(zones 4 - 9),4 feet,B M O R,http://companionplants.com/catalog/images/thumbs/Verbascum%20blattaria%202.jpg
605,Iris cristata, $5.00 ,Potted Plants,PS-FS,HP(zones 5 - 9),3 - 8 inches,M N O,http://companionplants.com/catalog/images/thumbs/Iris%20cristata.jpg
606,Coleus forskohliiPlectranthus barbartus, $6.00 ,Potted Plants,FS,TP,2 - 3 FEET,M O,http://companionplants.com/catalog/images/thumbs/9-5-10%20026.jpg
607,Plectranthus tomentosa, $5.00 ,Potted Plants,FS,TP,1 FOOT,A M O,http://companionplants.com/catalog/images/thumbs/9-5-10%20018.jpg
608,Plectranthus caninus, $5.00 ,Potted Plants,FS,TP,2 FEET,O R,http://companionplants.com/catalog/images/thumbs/9-5-10%20019.jpg
609,Verbena hastata, $5.00 ,Potted Plants,PS-FS,HP,4 FEET,B M N O,http://companionplants.com/catalog/images/thumbs/plants%202%20011.jpg
610,Zizia aurea, $5.00 ,Potted Plants,FS,HP(zones 4-9),3 FEET,C B M N O,http://companionplants.com/catalog/images/thumbs/July%2014%202012%20006.jpg
611,Echinacea tennessensis, $6.00 ,Potted Plants,FS,HP,"16""",M N O,http://companionplants.com/catalog/images/thumbs/Echinacea%20tennesseensis.jpg
612,Passiflora incarnata 'Bill's Delight', $12.00 ,Potted Plants,PS-FS,HP,VINE TO 20 FEET,M N O,http://companionplants.com/catalog/images/thumbs/9-5-10%20025.jpg
613,Mitragyna speciosa, $45.00 ,Potted Plants,PS-FS,TP,30 FEET,M,http://companionplants.com/catalog/images/thumbs/6-24-11%20028.jpg
614,Humulus lupulus var 'Brewer's Gold', $6.50 ,Potted Plants,FS,HP,vine to 30 FEET,C M L O,http://companionplants.com/catalog/images/thumbs/6-24-11%20028.jpg
615,Trichocereus terscheckii, $18.00 ,Cacti/Succulents,FS,TP,20 FEET or more,L M O,http://companionplants.com/catalog/images/thumbs/6-24-11%20031.jpg
616,Yucca filamentosa, $5.25 ,Potted Plants,FS,HP to zone 4,6 FEET,B C M N O,http://companionplants.com/catalog/images/thumbs/Yucca.jpg
617,Lavandula angustifolium 'Hidcote', $5.00 ,Potted Plants,FS,HP to zone 5,18 INCHES,A B C H M O,http://companionplants.com/catalog/images/thumbs/Yucca.jpg
618,Monarda fistulosa x tetraploid, $6.50 ,Potted Plants,PS-FS,HP(zones 6 - 9),30 inches,A C O R,"http://companionplants.com/catalog/images/thumbs/Monarda,%20Rose-Scented.JPG"
619,Verbena officinalis, $5.00 ,Potted Plants,PS-FS,HP,2 feet,L M,http://companionplants.com/catalog/images/thumbs/7-21-12%20006.jpg
620,Baptisia alba, $5.00 ,Potted Plants,FS,HP to zone 5,4 Feet,B D M O,http://companionplants.com/catalog/images/thumbs/July%2014%202012%20007.jpg
621,Passiflora incarnata seeds, $3.50 ,Seeds,PS-FS,HP(zones 5-10),vine to 25 feet,B C M N O,http://companionplants.com/catalog/images/thumbs/Passiflora%20incarnata.jpg
