,Name,Price,Category,Lighting_Conditions,Longevity,Average_Height,Uses,Imagen
336,Coleus amboinicus, $5.00 ,Potted Plants,PS-FS,TP,2 feet,A C M O,http://companionplants.com/catalog/images/plants%20040.jpg
337,Curcuma domestica, $7.00 ,Potted Plants,PS-FS,TP,to 5 feet,A C D M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
338,Cymbopogan nardus, $6.00 ,Potted Plants,FS,TP,5 feet,A O R,http://companionplants.com/catalog/images/thumbs/Cymbopogan%20nardus.jpg
339,Desmanthus illinoensis, $5.00 ,Potted Plants,PS-FS,HP (zones 5 to 9),4 feet,B M N O,http://companionplants.com/catalog/images/thumbs/7-19-12%20012.jpg
340,Digitalis lanata, $5.00 ,Potted Plants,PS-FS,HP-B (zones 4 to 9),30 inches,M O,http://companionplants.com/catalog/images/thumbs/Grecian%20Foxglove.jpg
341,Digitalis lutea, $5.00 ,Potted Plants,PS-FS,HP (zones 3 to 9),3 feet,M O,http://companionplants.com/catalog/images/thumbs/Yellow%20Foxglove.jpg
342,Echinacea purpurea, $5.00 ,Potted Plants,FS,HP (zones 3 to 9),3 feet,E M N O,http://companionplants.com/catalog/images/thumbs/7-09-09%20009.jpg
343,Eryngium yuccafolium, $5.00 ,Potted Plants,FS,HP (zones 4 to 8),4 feet,B M N O,http://companionplants.com/catalog/images/thumbs/6-25-09%20095.jpg
344,Eucalyptus cineraria, $5.25 ,Potted Plants,FS,TP (zones 9 to 10),20 feet,A E M O,http://companionplants.com/catalog/images/thumbs/7-19-09%20031.jpg
345,Foeniculum dulce, $5.00 ,Potted Plants,FS,A,3 feet,C,http://companionplants.com/catalog/images/Photo_Unavail.jpg
346,Foeniculum vulgare var, $5.00 ,Potted Plants,FS,HP (zones 4 to 9),4 feet,C O,http://companionplants.com/catalog/images/thumbs/7-21-12%20024.jpg
347,Foeniculum vulgare, $5.00 ,Potted Plants,FS,HP (in USDA Zones 4 to 9),8 feet,B C M O R,http://companionplants.com/catalog/images/Photo_Unavail.jpg
348,Galium verum, $5.00 ,Potted Plants,PS-FS,HP (zones 3 to 9),12 inches,C D M,http://companionplants.com/catalog/images/thumbs/6-14-09%20031.jpg
349,Genista tinctoria, $5.00 ,Potted Plants,FS,HP (zones 2 to 8),3 feet,D M O,http://companionplants.com/catalog/images/thumbs/6-14-09%20012.jpg
350,Geranium maculatum, $5.00 ,Potted Plants,PS-FS,HP (zones 4 to 9),2 feet,M N O,http://companionplants.com/catalog/images/thumbs/05-28-15%20002.JPG
351,Glycyrrhiza glabra, $6.00 ,Potted Plants,FS,HP (zones 7 to 10),4 feet,C M,http://companionplants.com/catalog/images/thumbs/05-28-15%20003.JPG
352,Humulus lupulus var 'Mt Hood', $6.50 ,Potted Plants,FS,HP (zones 4 to 8),to 30 feet,C H M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
353,Lavandula dentata 'Goodwin Creek', $5.00 ,Potted Plants,FS,TP (zones 7 - 10),3 feet,A M O R,http://companionplants.com/catalog/images/thumbs/Goodwin%20Creek%20Lavender.jpg
354,Lavandula heterophylla, $5.00 ,Potted Plants,FS,TP (zones 7 to 10),4 feet,A M O,http://companionplants.com/catalog/images/thumbs/Lavandula%20heterophylla.jpg
355,Leonitus leonurus, $5.00 ,Potted Plants,FS,TP (zone 8 - 10),5 feet,B M O,http://companionplants.com/catalog/images/thumbs/Leonotis%20leonurus.jpg
356,Lippia dulcis, $5.00 ,Potted Plants,PS-FS,TP,8 inches,C M O,http://companionplants.com/catalog/images/thumbs/Lippia%20dulcis.jpg
357,Lobelia cardinalis, $5.00 ,Potted Plants,PS-FS,HP (zones 3 to 9),4 feet,B M N O,http://companionplants.com/catalog/images/thumbs/Lobelia%20cardinalis.jpg
358,Lysimachia nummilaria 'Aurea', $4.85 ,Potted Plants,PS-FS,HP (zones 4 to 8),2 inches,O,http://companionplants.com/catalog/images/thumbs/07-30-14%20018.JPG
359,Manfreda virginica, $6.00 ,Potted Plants,FS,HP (zones 5 to 9),3 feet to 6 feet,M N O,http://companionplants.com/catalog/images/thumbs/7-19-09%20045.jpg
360,Matricaria chamomila, $4.85 ,Potted Plants,FS,A,16 inches,A C M O,http://companionplants.com/catalog/images/thumbs/6-25-09%20103.jpg
361,Melaleuca alternifolia, $8.00 ,Potted Plants,FS,TP (zones 8 to 10),20 feet,A M O,http://companionplants.com/catalog/images/thumbs/Melalueca%20alternifolia%20flower.jpg
362,Mentha aquatica 'Lavender', $4.85 ,Potted Plants,PS-FS,HP (zones 3 to 9),30 inches,A B C H M O R,http://companionplants.com/catalog/images/Photo_Unavail.jpg
363,Mentha arvensis 'Piperescens', $4.85 ,Potted Plants,PS-FS,HP (zones 3 to 9),30 inches,A C H M R,http://companionplants.com/catalog/images/thumbs/Mentha%20arvensis%20piperescens%20Jap.%20Field%20Mint.JPG
364,Mentha x piperata var 'Blackstem', $4.85 ,Potted Plants,PS-FS,HP (zones 3 to 9),30 inches,A C H M R,http://companionplants.com/catalog/images/Photo_Unavail.jpg
365,Mentha pulegium, $4.85 ,Potted Plants,PS-FS,HP (zones 6 to 9),1 foot,A C H M R,http://companionplants.com/catalog/images/thumbs/7-21-12%20007.jpg
366,Mentha spicata 'Crispa', $4.85 ,Potted Plants,PS-FS,HP (zones 3 to 9),2 feet,A C H M R,http://companionplants.com/catalog/images/thumbs/6-24-11%20040.jpg
